State,program,PYC,id,procedure,function,DOSPUNTOS,var,boolean,integer,string,PARENT_ABRIR,PARENT_CERRAR,if,then,begin,end,else,while,do,repeat,until,loop,for,ASIGNACION,to,case,of,entero,otherwise,write,writeln,read,return,exit,when,COMA,or,xor,and,IGUAL,DISTINTO,MAYOR,MAYOR_IGUAL,MENOR,MENOR_IGUAL,MAS,MENOS,PRODUCTO,DIVISION,mod,POTENCIA,not,cadena,true,false,in,max,min,$,P,M1,D,R,PP,PF,PR,PPid,M2,Bloque,Pid,PRidA,A,PFidAT,T,DD,X,AA,C,B,EE,S,E,THEN,M3,FOR,EXP,N,O,VALOR,LL,V,Y,L,Q,W,F,G,H,I,J,K,Z,FIN
17,,r8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
18,,r9,,,,r9,,,,,r9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
19,,s25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
20,,r23,,,,r23,,,,,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
21,,s28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
22,,r23,,,,r23,,,,,s27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
23,,,,,,,,s31,s32,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
24,r16,,,r16,r16,,s4,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r16,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
25,r16,,,r16,r16,,s4,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r16,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
26,,,,,,s36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
27,,,r100,,,,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,%
28,r16,,,r16,r16,,s4,,,,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r16,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
29,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
30,,s40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
31,,r19,,,,,,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
32,,r20,,,,,,,,,,r20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
33,,r21,,,,,,,,,,r21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
34,,,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
35,,,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
36,,,,,,,,s31,s32,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
37,,,s44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
38,,,r99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
39,,,,,,,,,,,,,,,r10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
40,r18,,s47,r18,r18,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
41,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
42,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
43,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
44,,,,,,s51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
45,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
46,r15,,,r15,r15,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
47,,,,,,s53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
48,,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
49,,,s67,,,,,,,,,,s57,,,r28,,s59,,s60,r28,s61,s70,,,s63,,,,s64,s65,s66,s68,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,56,,58,,,,62,,,,,,,,,,,,,,,,,,%
50,,s71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
51,,,,,,,,s31,s32,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
52,,s73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
53,,,,,,,,s31,s32,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
54,r7,,,r7,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
55,,,,,,,,,,,,,,,,s75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
56,,,s67,,,,,,,,,,s57,,,r28,,s59,,s60,r28,s61,s70,,,s63,,,,s64,s65,s66,s68,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,56,,58,,,,62,,,,,,,,,,,,,,,,,,%
57,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,77,,79,78,,,,,,,,,,,,,80,81,82,83,84,85,89,%
58,,,r31,,,,,,,,,,r31,,,r31,,r31,,r31,r31,r31,r31,,,r31,,,,r31,r31,r31,r31,r31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
59,,,r36,,,,,,,,r36,,r36,,r36,r36,,r36,,r36,r36,r36,r36,,,r36,,r36,,r36,r36,r36,r36,r36,,,,,,,,,,,,r36,r36,,,,,r36,r36,r36,r36,,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,,,,%
60,,,r36,,,,,,,,r36,,r36,,r36,r36,,r36,,r36,r36,r36,r36,,,r36,,r36,,r36,r36,r36,r36,r36,,,,,,,,,,,,r36,r36,,,,,r36,r36,r36,r36,,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,%
61,,,r36,,,,,,,,r36,,r36,,r36,r36,,r36,,r36,r36,r36,r36,,,r36,,r36,,r36,r36,r36,r36,r36,,,,,,,,,,,,r36,r36,,,,,r36,r36,r36,r36,,r36,r36,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,%
62,,,,,,,,,,,,,,,,,,,s101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
63,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,103,,,,102,,,,,,,,,,80,81,82,83,84,85,89,%
64,,r56,,,,,,,,,s105,r56,,r56,,,,,r56,,,,,,r56,,r56,,,,,,,,,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,,,,,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,%
65,,r56,,,,,,,,,s105,r56,,r56,,,,,r56,,,,,,r56,,r56,,,,,,,,,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,,,,,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,%
66,,,,,,,,,,,s107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
67,,r56,,,,,,,,,s105,r56,,r56,,,,,r56,,,,,s108,r56,,r56,,,,,,,,,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,,,,,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109,,,,,,,,,,,,,%
68,,r64,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,111,,,,,,,,,,110,,,,80,81,82,83,84,85,89,%
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
70,,,s113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
71,r13,,,r13,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
72,,s115,,,,,,,,,,r25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,%
73,r11,,,r11,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
74,,s116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
75,,r26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
76,,,,,,,,,,,,,,,,r27,,,,,r27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
77,,,,,,,,,,,,,,s117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
78,,,,,,,,,,,,,,,,,s118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
79,,,,,,,,,,,,,,r30,,,,,r30,,,,,,,,,,,,,,,,,,s119,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
80,,r67,,,,,,,,,,r67,,r67,,,,,r67,,,,,,r67,,r67,,,,,,,,,r67,r67,r67,s121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
81,,r69,,,,,,,,,,r69,,r69,,,,,r69,,,,,,r69,,r69,,,,,,,,,r69,r69,r69,r69,s122,s123,s124,s125,s126,s127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
82,,r76,,,,,,,,,,r76,,r76,,,,,r76,,,,,,r76,,r76,,,,,,,,,r76,r76,r76,r76,r76,r76,r76,r76,r76,r76,s128,s129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
83,,r79,,,,,,,,,,r79,,r79,,,,,r79,,,,,,r79,,r79,,,,,,,,,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,r79,s130,s131,s132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
84,,r83,,,,,,,,,,r83,,r83,,,,,r83,,,,,,r83,,r83,,,,,,,,,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,r83,s133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
85,,r85,,,,,,,,,,r85,,r85,,,,,r85,,,,,,r85,,r85,,,,,,,,,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,r85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
86,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,89,%
87,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,89,%
88,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,89,%
89,,r89,,,,,,,,,,r89,,r89,,,,,r89,,,,,,r89,,r89,,,,,,,,,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,r89,,,,,s137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
90,,r90,,,,,,,,,,r90,,r90,,,,,r90,,,,,,r90,,r90,,,,,,,,,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,r90,,,,,r90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
91,,r91,,,,,,,,,,r91,,r91,,,,,r91,,,,,,r91,,r91,,,,,,,,,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,r91,,,,,r91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
92,,r92,,,,,,,,,,r92,,r92,,,,,r92,,,,,,r92,,r92,,,,,,,,,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,r92,,,,,r92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
93,,r93,,,,,,,,,,r93,,r93,,,,,r93,,,,,,r93,,r93,,,,,,,,,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,r93,,,,,r93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
94,,r56,,,,,,,,,s105,r56,,r56,,,,,r56,,,,,,r56,,r56,,,,,,,,,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,r56,,,,,r56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,%
95,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,139,,,,,,,,,,,,,,80,81,82,83,84,85,89,%
96,,,,,,,,,,,s140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
97,,,,,,,,,,,s141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
98,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,142,,79,,,,,,,,,,,,,,80,81,82,83,84,85,89,%
99,,,s67,,,,,,,,,,s57,,,r28,,s59,,s60,r28,s61,s70,,,s63,,,,s64,s65,s66,s68,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,56,,58,,,,62,,,,,,,,,,,,,,,,,,%
100,,,s67,,,,,,,,,,s57,,,r28,,s59,,s60,r28,s61,s70,,,s63,,,,s64,s65,s66,s68,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,56,,58,,,,62,,,,,,,,,,,,,,,,,,%
101,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
102,,,,,,,,,,,,,,,,,,,,,,,,,,,s146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
103,,,,,,,,,,,,,,,,,,,,,,,,,,,r42,,,,,,,,,,s119,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
104,,s147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
105,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,,,,,,148,,,80,81,82,83,84,85,89,%
106,,s150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
107,,,s152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,%
108,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,80,81,82,83,84,85,89,%
109,,s154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
110,,s155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
111,,r63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s119,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
112,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,156,,,,,,,,,,,,,,80,81,82,83,84,85,89,%
113,,,,,,,,,,,,,,,,,,,,,,,,s157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
114,,,,,,,,,,,,s158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
115,,,r100,,,,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,%
116,r18,,s47,r18,r18,,,,,,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,r18,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
117,,,s67,,,,,,,,,,,,s49,,,,,,,,,,,,,,,s64,s65,s66,s68,s69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,,,,161,,,,,,,,,,,,,,,,,,,,,,%
118,,,,,,,,,,,,,,,s49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%
119,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,81,82,83,84,85,89,%
120,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,81,82,83,84,85,89,%
121,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,82,83,84,85,89,%
122,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,83,84,85,89,%
123,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,83,84,85,89,%
124,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,83,84,85,89,%
125,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,83,84,85,89,%
126,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171,83,84,85,89,%
127,,,s94,,,,,,,,s95,,,,,,,,,,,,,,,,,s90,,,,,,,,,,,,,,,,,,s87,s88,,,,,s86,s91,s92,s93,,s96,s97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,83,84,85,89,%
